name	domain	notes	source
African Lodge No. 459 / Prince Hall Grand Lodge lineage	civic / fraternal orders	The charter establishes powers and legitimacy more clearly than organizational aims; exact wording of the earliest regulations was not located publicly.	civic
Ancient Order of Foresters	civic / fraternal orders	Earliest located own-aim text is the 1840 General Laws, not the original 1834 rules.	civic
Ancient Order of Hibernians in America	civic / fraternal orders	Criterion (ii) incomplete: searchable evidence does not reproduce the 1836 letter’s full aim language. Continuity includes a fourteen-year organizational split.	civic
Ancient Order of United Workmen	civic / fraternal orders	Meets the dissolution alternative only if distributed state and lodge archives constitute an adequate record trail through 1952; national closing records were not located.	civic
Benevolent and Protective Order of Elks	civic / fraternal orders	Exact surviving location and date of the first constitution were not established; criterion (ii) incomplete.	civic
B’nai B’rith	civic / fraternal orders	Meets all three criteria.	civic
Free Sons of Israel	civic / fraternal orders	Criterion (ii) incomplete because the finding aid does not reproduce the founding constitution’s aims.	civic
Grand Army of the Republic	civic / fraternal orders	Meets the dissolution alternative in criterion (iii), although duration was under 150 years.	civic
Grand United Order of Good Samaritans	civic / fraternal orders	ii–iii incomplete	wikipedia-lister
Independent Order of Odd Fellows (United States)	civic / fraternal orders	Exact aim language in the 1820 dispensation was not available in searchable text.	civic
Independent Order of Oddfellows Manchester Unity	civic / fraternal orders	Meets all three criteria. | wiki: ii incomplete	civic
Independent Order of Rechabites	civic / fraternal orders	ii–iii incomplete	wikipedia-lister
Independent Order of Rechabites / Rechabite Friendly Society	civic / fraternal orders	Meets all three criteria.	civic
Independent/International Order of Good Templars, now Movendi International	civic / fraternal orders	Exact original 1851 constitution was not located; criterion (ii) rests on the early ritual/motto and 1867 constitutions.	civic
International Order of Good Templars / Movendi	civic / fraternal orders	ii incomplete	wikipedia-lister
Knights of Pythias	civic / fraternal orders	Founding ritual survives according to the order, but its present repository/catalogue identifier was not located.	civic
Loyal Orange Institution	civic / fraternal orders	Criterion (iii) incomplete if “continuous” excludes the formal dissolutions and reconstructions.	civic
Military Order of the Loyal Legion of the United States	civic / fraternal orders	Sources disagree between 15 and 20 April; narrow range retained.	civic
National Grange of the Order of Patrons of Husbandry	civic / fraternal orders	Earliest located explicit own-aim text is five years after founding.	civic
Order of United American Mechanics	civic / fraternal orders	Criteria (ii) and (iii) incomplete: original resolutions/constitution were identified but not located online; end date is uncertain.	civic
Order of the Amaranth	civic / fraternal orders	Criterion (iii) incomplete because of the 1873–95 record gap; 1873–95 may have been centralized ritual licensing rather than continuously documented organizational activity.	civic
Premier Grand Lodge / United Grand Lodge of England	civic / fraternal orders	successor identity	wikipedia-lister
Shriners International / Imperial Council, AAONMS	civic / fraternal orders	Criterion (ii) incomplete: the founding ritual is described, but a repository holding the original manuscript was not established.	civic
Sons of Temperance	civic / fraternal orders	The public finding aid establishes surviving constitutions but does not image the original 1842 text. | wiki: continuity incomplete	civic
United Ancient Order of Druids, American body	civic / fraternal orders	Criterion (iii) incomplete: no precise national dissolution date or end-to-end national record trail located.	civic
United Grand Lodge of England / Premier Grand Lodge lineage	civic / fraternal orders	Present UGLE dates corporately from the 1813 union; criterion (iii) depends on treating that union as institutional continuity.	civic
A.E. Köchert	firms	**(ii) incomplete.**	firms
Acetaia Giusti	firms	**(ii) incomplete.**	firms
Akafuku	firms	**(ii) incomplete.**	firms
Amarelli	firms	**(ii) incomplete.**	firms
Amsterdam Wisselbank	firms	Meets all three; exact legal closing date varies between 1819 and 1820.	firms
Augustea	firms	**(ii) incomplete.**	firms
Bank of England	firms	Meets all three.	firms
Banque Hottinguer	firms	**(ii) incomplete.**	firms
Banque Lombard Odier & Cie	firms	**(ii) incomplete.**	firms
Banque Pictet & Cie	firms	**(ii) incomplete.**	firms
Barings	firms	**(ii) partial:** catalogue confirms articles, but searchable text did not expose their stated aims.	firms
Beligné	firms	**(ii) incomplete.**	firms
C. Hoare & Co.	firms	**(ii) incomplete.**	firms
Cartiera Mantovana	firms	**(ii) incomplete.**	firms
Catherineau	firms	**(ii) incomplete.**	firms
Champagne Billecart-Salmon	firms	**(ii) incomplete.**	firms
Château de Goulaine	firms	ii incomplete	wikipedia-lister
Colussi	firms	**(ii) incomplete.**	firms
De Kuyper Royal Distillers	firms	**(ii) incomplete.**	firms
Denantes	firms	**(ii) incomplete.**	firms
Descours & Cabaud	firms	**(ii) incomplete.**	firms
Ditta Bortolo Nardini	firms	**(ii) incomplete.**	firms
Dutch East India Company (VOC)	firms	Meets all three.	firms
D’Ieteren	firms	**(ii) incomplete.**	firms
East India Company	firms	Meets all three.	firms
Fabbrica d’Armi Pietro Beretta	firms	**(ii) incomplete:** invoice documents trade but does not clearly state organizational aims.	firms
Fratelli Piacenza	firms	**(ii) incomplete.**	firms
Fried. Schwarze	firms	**(ii) incomplete.**	firms
Garbellotto	firms	**(ii) incomplete.**	firms
Gekkeikan	firms	**(ii) incomplete.**	firms
Genda Shigyō	firms	ii incomplete	wikipedia-lister
Gradis 1685	firms	**(ii) incomplete.**	firms
Grondona	firms	Source’s exact date/catalogue number not exposed publicly.	firms
Groupe Bolloré	firms	**(ii) incomplete.**	firms
Groupe Mirabaud	firms	**(ii) incomplete.**	firms
Guerrieri Rizzardi	firms	**(ii) incomplete.**	firms
Guinness / St James’s Gate Brewery	firms	**(ii) incomplete:** lease establishes brewery use but is not clearly an organization-issued statement of aims.	firms
HOSHI	firms	**(ii) incomplete;** 717/718 discrepancy.	firms
Honor/Société des Moulins du Bazacle	firms	Meets all three, assuming union instrument sufficiently states joint operating aims.	firms
Hudson’s Bay Company	firms	Meets ≥150-year branch regardless of liquidation outcome.	firms
Hugel & Fils	firms	**(ii) incomplete.**	firms
Hōshi Ryokan	firms	ii incomplete	wikipedia-lister
Ichimonjiya Wasuke	firms	ii incomplete	wikipedia-lister
J. & L. Lobmeyr	firms	**(ii) incomplete.**	firms
J.D. Neuhaus	firms	**(ii) incomplete.**	firms
Koman	firms	ii incomplete	wikipedia-lister
Kongō Gumi	firms	**(i), (ii) incomplete:** current chairman says no clear contemporary records survive. | wiki: criterion ii incomplete	firms
Leone de Castris	firms	**(ii) incomplete.**	firms
Les Fils Dreyfus & Cie	firms	**(ii) incomplete.**	firms
Louis Latour	firms	**(ii) incomplete.**	firms
Luxardo	firms	**(ii) incomplete.**	firms
Mellerio	firms	**(ii) incomplete.**	firms
Monnaie de Paris	firms	whether edict satisfies own aims uncertain	wikipedia-lister
Monte Pio / Banca Monte dei Paschi di Siena	firms	1995 split means bank versus foundation succession should be recorded explicitly.	firms
Möllergroup	firms	**(ii) incomplete.**	firms
Nabeya	firms	**(ii) incomplete.**	firms
Nakagawa Masashichi Shoten	firms	**(ii) incomplete.**	firms
Nakamura Shaji	firms	ii incomplete	wikipedia-lister
Nishiyama Onsen Keiunkan	firms	ii incomplete	wikipedia-lister
Okaya	firms	**(ii) incomplete.**	firms
Otterton Mill	firms	ii incomplete	wikipedia-lister
Pinto Basto	firms	H differs from some secondary listings giving 1788; **(i), (ii) need verification.**	firms
Pollet	firms	**(ii) incomplete.**	firms
Pontificia Fonderia Marinelli	firms	ii incomplete	wikipedia-lister
Revol	firms	**(ii) incomplete.**	firms
Royal Mint	firms	ii incomplete	wikipedia-lister
Shumiya-Shinbutsuguten	firms	ii incomplete	wikipedia-lister
St. Peter Stiftskulinarium	firms	ii incomplete	wikipedia-lister
Stabilimento Colbachini	firms	**(ii) incomplete.**	firms
Staffelter Hof	firms	ii incomplete	wikipedia-lister
Stora Kopparberg / Stora Enso	firms	Founding could be stated as 1347; succession through merger needs explicit legal-continuity evidence.	firms
Tanaka-Iga	firms	ii incomplete	wikipedia-lister
Tarrerias Bonjean	firms	**(ii) incomplete.**	firms
Thiercelin	firms	**(ii) incomplete.**	firms
Toraya	firms	**(ii) incomplete.**	firms
Van Eeghen Group	firms	**(ii) incomplete.**	firms
Viellard Migeon & Cie	firms	**(ii) incomplete.**	firms
Vitale Barberis Canonico	firms	**(ii) incomplete.**	firms
Weihenstephan brewery	firms	i–ii incomplete	wikipedia-lister
Weltenburger brewery	firms	i–ii incomplete	wikipedia-lister
Yamamotoyama	firms	**(ii) incomplete.**	firms
Yamasa Corporation	firms	**(ii) incomplete.**	firms
Zaiso Lumber	firms	**(ii) incomplete.**	firms
Éditions Henry Lemoine	firms	**(ii) incomplete.**	firms
Barreau du Québec	legal traditions	Incorporating act states regulatory purposes but was external; earliest organization-issued rules not located.	legal
Birmingham Law Society	legal traditions	Criterion (ii) and full record trail incomplete.	legal
Bristol Law Society	legal traditions	Criterion (ii) incomplete.	legal
Devon and Exeter Law Society	legal traditions	Merger continuity and criterion (ii) incomplete.	legal
Doctors’ Commons	legal traditions	Need inspection of 1511 records to confirm an organization-issued statement of aims.	legal
Douai community of advocates	legal traditions	End date and record trail incomplete.	legal
Essex County Bar Association	legal traditions	Continuity before the 1856 reorganization and earliest-period own-aim source incomplete.	legal
Faculty of Advocates	legal traditions	The 1532 founding act was external; earliest explicit organization-issued aims not located. | wiki: criterion ii incomplete	legal
Gloucester Law Society	legal traditions	Criteria (ii) and (iii) incomplete.	legal
Gray’s Inn	legal traditions	Criteria (i) and explicit earliest own-aim source incomplete.	legal
Gulating	legal traditions	Exact founding date and institutional continuity after relocation uncertain.	legal
Honorable Society of King’s Inns	legal traditions	Documentary gap before 1607; explicit early own-aim statement not confirmed.	legal
Hull Law Society	legal traditions	Criteria (ii) and (iii) incomplete.	legal
Ilustre y Nacional Colegio de Abogados de México	legal traditions	Full continuity record location not identified in the searched sources.	legal
Inner Temple	legal traditions	Criteria (i) and explicit earliest own-aim source incomplete. | wiki: datable founding and explicit aims incomplete	legal
Kent Law Society	legal traditions	Criterion (ii) and full record trail incomplete.	legal
Law Society of Ontario	legal traditions	Founding statute was external; earliest Convocation rule explicitly stating aims needs confirmation.	legal
Leeds Law Society	legal traditions	Explicit own-aim source and full continuity trail incomplete.	legal
Lincoln’s Inn	legal traditions	Criterion (i) incomplete; earliest minutes need checking for an explicit statement of aims. | wiki: founding act incomplete	legal
Madrid Bar Association	legal traditions	Ordinances appear organization-originated but royal approval text should be checked.	legal
Manchester Law Society	legal traditions	Criterion (ii) and full documentary continuity incomplete.	legal
Massachusetts Supreme Judicial Court	legal traditions	Criterion (ii) incomplete because founding act was external.	legal
Middle Temple	legal traditions	Criteria (i), continuous earliest record trail, and explicit own-aim source incomplete. | wiki: criterion i and surviving aim text incomplete	legal
New York City Bar Association	legal traditions	Meets all three on located evidence.	legal
Philadelphia Bar Association / Law Library Company	legal traditions	Confirm that the 1802 charter itself states organizational aims rather than only corporate mechanics.	legal
Plymouth Law Society	legal traditions	Criteria (ii) and (iii) incomplete.	legal
Real e Ilustre Colegio de Abogados de Zaragoza	legal traditions	1399 document mentions predecessor confraternity but does not state its full aims; 179-year gap to ordinances.	legal
Royal Faculty of Procurators in Glasgow	legal traditions	Criterion (i) incomplete unless 1796 incorporation is treated as foundation; charter externally issued.	legal
Serjeants’ Inn, Chancery Lane	legal traditions	Earliest own-aim source and formal dissolution date incomplete.	legal
Society of Advocates in Aberdeen	legal traditions	Exact foundation and organization-issued earliest aims incomplete.	legal
Society of Gentlemen Practisers	legal traditions	Exact dissolution date and records through the final meeting uncertain.	legal
Society of Writers to His Majesty’s Signet	legal traditions	Commission was externally issued; earliest organization-issued aims not located.	legal
Somerset Law Society	legal traditions	Criteria (ii) and (iii) incomplete.	legal
Sunderland Law Society	legal traditions	Criteria (ii) and (iii) incomplete.	legal
Water Tribunal of Valencia	legal traditions	Datable foundation and surviving earliest-period own-aim source incomplete.	legal
Yorkshire Law Society	legal traditions	Criteria (ii) and (iii) incomplete.	legal
American Institute of Architects	professions / guilds	Original constitution does not survive; earliest-period amended text does	guilds
American Institute of Mining Engineers predecessor	professions / guilds	Identity through later mergers requires confirmation	guilds
American Medical Association	professions / guilds	—	guilds
Apothecaries’ Society	professions / guilds	—	guilds
Armourers and Brasiers’ Company	professions / guilds	—	guilds
Bakers’ Company	professions / guilds	D/P/C	guilds
Basketmakers’ Company	professions / guilds	D/P/C	guilds
Blacksmiths’ Company	professions / guilds	D/P/C	guilds
Bowyers’ Company	professions / guilds	D/P/C	guilds
Brewers’ Company	professions / guilds	D/P/C	guilds
British Medical Association	professions / guilds	—	guilds
Broderers’ Company	professions / guilds	D/P/C	guilds
Butchers’ Company	professions / guilds	D/P/C	guilds
Carmen	professions / guilds	Organizational continuity and instrument title incomplete; D/P/C	guilds
Carpenters’ Company	professions / guilds	P/C	guilds
Chartered College of Teaching / College of Preceptors	professions / guilds	Legal succession in 2017 should be checked against strict identity rule	guilds
Clockmakers’ Company	professions / guilds	D/P/C	guilds
Clothworkers’ Company	professions / guilds	D/P/C	guilds
Coachmakers and Coach Harness Makers	professions / guilds	D/P	guilds
Company of Cutlers in Hallamshire	professions / guilds	P/C	guilds
Company of Merchants of the Staple of England	professions / guilds	Founding is not yet narrowed to a year; criterion (i) incomplete	guilds
Cooks’ Company	professions / guilds	D/P/C	guilds
Coopers’ Company	professions / guilds	D/P/C	guilds
Cordwainers’ Company	professions / guilds	D/P/C	guilds
Corporation of Trinity House	professions / guilds	P/C	guilds
Curriers’ Company	professions / guilds	D/P/C	guilds
Cutlers’ Company	professions / guilds	D/P/C	guilds
Distillers’ Company	professions / guilds	D/P/C	guilds
Drapers’ Company	professions / guilds	P	guilds
Dyers’ Company	professions / guilds	D/P/C	guilds
Faculty of Actuaries	professions / guilds	Documented organizational end by merger in 2010	guilds
Fan Makers	professions / guilds	D/P/C	guilds
Farriers’ Company	professions / guilds	D/P/C	guilds
Feltmakers’ Company	professions / guilds	D/P/C	guilds
Fishmongers’ Company	professions / guilds	Earliest 1272 charter no longer held by company | wiki: original 1272 charter not in custody	guilds
Fletchers’ Company	professions / guilds	Exact founding instrument incomplete; P/C	guilds
Founders’ Company	professions / guilds	P/C	guilds
Framework Knitters’ Company	professions / guilds	D/P/C	guilds
Fruiterers’ Company	professions / guilds	D/P/C	guilds
Gardeners’ Company	professions / guilds	D/P/C	guilds
Girdlers’ Company	professions / guilds	D/P/C	guilds
Glass Sellers’ Company	professions / guilds	D/P/C	guilds
Glaziers and Painters of Glass	professions / guilds	D/P/C	guilds
Glovers’ Company	professions / guilds	D/P/C	guilds
Gold and Silver Wyre Drawers	professions / guilds	—	guilds
Goldsmiths’ Company	professions / guilds	—	guilds
Grocers—see above	professions / guilds	No duplicate row	guilds
Grocers’ Company	professions / guilds	— | wiki: holding verification incomplete	guilds
Gunmakers’ Company	professions / guilds	D/P	guilds
Haberdashers—see above	professions / guilds	No duplicate row	guilds
Haberdashers’ Company	professions / guilds	D/P/C	guilds
Horners’ Company	professions / guilds	D/P/C	guilds
Incorporation of Surgeons and Barbers of Edinburgh / RCSEd	professions / guilds	—	guilds
Innholders’ Company	professions / guilds	D/P/C	guilds
Institute of Actuaries	professions / guilds	Dissolved by merger/identity transformed in 2010; end records survive	guilds
Institution of Civil Engineers	professions / guilds	—	guilds
Institution of Mechanical Engineers	professions / guilds	—	guilds
Ironmongers’ Company	professions / guilds	D/P/C	guilds
Joiners and Ceilers’ Company	professions / guilds	D/P/C	guilds
Law Society of England and Wales	professions / guilds	Exact founding-minute repository incomplete | wiki: holding needs confirmation	guilds
Leathersellers’ Company	professions / guilds	—	guilds
Makers of Playing Cards	professions / guilds	D/P/C	guilds
Masons’ Company	professions / guilds	P/C	guilds
Mercers’ Company	professions / guilds	LC currently leaves charter field blank; D/P | wiki: exact earliest item incomplete	guilds
Merchant Adventurers of York	professions / guilds	P/C	guilds
Merchant Taylors’ Company	professions / guilds	D/P	guilds
Musicians’ Company	professions / guilds	D/P/C	guilds
Needlemakers’ Company	professions / guilds	—	guilds
Painter-Stainers’ Company	professions / guilds	D/P/C	guilds
Pattenmakers’ Company	professions / guilds	D/P/C	guilds
Paviors’ Company	professions / guilds	P/C	guilds
Pewterers’ Company	professions / guilds	—	guilds
Pharmaceutical Society of Great Britain / Royal Pharmaceutical Society	professions / guilds	Regulatory role transferred in 2010, but society continued	guilds
Plaisterers’ Company	professions / guilds	D/P/C	guilds
Plumbers’ Company	professions / guilds	P/C	guilds
Poulters’ Company	professions / guilds	Founding and source shelfmark incomplete; P/C	guilds
Royal Aeronautical Society	professions / guilds	Reached 160 years in 2026	guilds
Royal College of Physicians of London	professions / guilds	—	guilds
Royal College of Surgeons of England	professions / guilds	Organizational rename/recharter, not a dissolution	guilds
Royal College of Veterinary Surgeons	professions / guilds	—	guilds
Royal Institute of British Architects	professions / guilds	—	guilds
Royal Institution of Chartered Surveyors	professions / guilds	Exact repository of 1868 originals incomplete	guilds
Saddlers’ Company	professions / guilds	Exact online date/shelfmark incomplete; P/C	guilds
Salters’ Company	professions / guilds	Directory exposes later charter; D/P/C | wiki: founding-date conflict	guilds
Scriveners’ Company	professions / guilds	D/P/C	guilds
Shipwrights’ Company	professions / guilds	Founding year and earliest aim text incomplete; D/P/C	guilds
Shrewsbury Drapers Company	professions / guilds	P/C	guilds
Skinners’ Company	professions / guilds	D/P/C	guilds
Society of Engineers	professions / guilds	Criteria (ii) and (iii) incomplete	guilds
Society of Merchant Venturers, Bristol	professions / guilds	P/C	guilds
Spectacle Makers’ Company	professions / guilds	D/P/C	guilds
Stationers’ Company	professions / guilds	—	guilds
Tallow Chandlers’ Company	professions / guilds	D/P/C	guilds
Tin Plate Workers alias Wire Workers	professions / guilds	D/P/C	guilds
Trades House of Glasgow	professions / guilds	P/C	guilds
Turners’ Company	professions / guilds	D/P/C	guilds
Tylers and Bricklayers’ Company	professions / guilds	D/P/C	guilds
Upholders’ Company	professions / guilds	P/C	guilds
Vintners’ Company	professions / guilds	—	guilds
Watermen and Lightermen of the Thames	professions / guilds	P/C	guilds
Wax Chandlers’ Company	professions / guilds	P/C	guilds
Weavers, Fullers and Shearmen of Exeter	professions / guilds	P/C	guilds
Weavers’ Company	professions / guilds	D/P/C	guilds
Wheelwrights’ Company	professions / guilds	—	guilds
Woolmen’s Company	professions / guilds	P/C	guilds
Worcester Clothiers’ Company	professions / guilds	P/C	guilds
Worshipful Company of Parish Clerks	professions / guilds	P/C	guilds
York Cordwainers	professions / guilds	Founding date, earliest source title, and full continuity trail incomplete	guilds
York Merchant Taylors	professions / guilds	D/P/C	guilds
American Anti-Slavery Society	reform movements	Meets documented-dissolution branch.	reform
American Colonization Society	reform movements	Meets both duration and documented-end branches.	reform
American Equal Rights Association	reform movements	Terminal proceedings and original constitution publication require fuller archival citation.	reform
American Peace Society	reform movements	≥150-year organizational continuity is not adequately demonstrated by the located records.	reform
American Society for the Prevention of Cruelty to Animals	reform movements	Meets ≥150-year branch.	reform
American Temperance Society	reform movements	Full founding text and records through merger not located in this pass. | wiki: succession needs coding	reform
American Temperance Union	reform movements	Exact founding instrument and complete terminal archive need confirmation.	reform
American Woman Suffrage Association	reform movements	Meets documented-merger/end branch.	reform
American and Foreign Anti-Slavery Society	reform movements	Dissolution date and complete terminal record trail not established.	reform
Anti-Corn Law League	reform movements	frame URL not recovered	wikipedia-lister
Anti-Saloon League of America	reform movements	Criterion ii incomplete.	reform
Anti-Slavery International / British and Foreign Anti-Slavery Society	reform movements	Meets ≥150-year branch.	reform
Congressional Union / National Woman’s Party	reform movements	Meets documented-dissolution branch.	reform
Howard League for Penal Reform / Howard Association	reform movements	Meets ≥150-year branch.	reform
Massachusetts Peace Society	reform movements	Primary-source repository citation and complete merger proceedings not verified.	reform
Movendi International / Independent Order of Good Templars	reform movements	Criterion ii incomplete: earliest-period aim document not verified.	reform
National American Woman Suffrage Association	reform movements	Meets documented-reorganization/end branch.	reform
National Woman Suffrage Association	reform movements	Meets documented-merger/end branch. | wiki: frame URL need confirmation	reform
New York Female Moral Reform Society / American Female Guardian Society	reform movements	Exact succession, dissolution, and end-to-end record trail remain incomplete.	reform
New York Manumission Society	reform movements	Meets documented-dissolution branch.	reform
Pennsylvania Abolition Society	reform movements	Continuity criterion is incomplete because of the early cessation and later revival. | wiki: interruption needs checking	reform
Philadelphia Female Anti-Slavery Society	reform movements	Meets documented-dissolution branch.	reform
Prohibition Party	reform movements	Meets ≥150-year branch.	reform
