name	domain
African Lodge No. 459 / Prince Hall Grand Lodge lineage	civic / fraternal orders
Ancient Order of Foresters	civic / fraternal orders
Ancient Order of Hibernians in America	civic / fraternal orders
Ancient Order of United Workmen	civic / fraternal orders
Benevolent and Protective Order of Elks	civic / fraternal orders
Free Sons of Israel	civic / fraternal orders
Grand Army of the Republic	civic / fraternal orders
Grand United Order of Good Samaritans	civic / fraternal orders
Independent Order of Odd Fellows (United States)	civic / fraternal orders
Independent Order of Oddfellows Manchester Unity	civic / fraternal orders
Independent Order of Rechabites	civic / fraternal orders
Independent Order of Rechabites / Rechabite Friendly Society	civic / fraternal orders
Independent/International Order of Good Templars, now Movendi International	civic / fraternal orders
International Order of Good Templars / Movendi	civic / fraternal orders
Knights of Pythias	civic / fraternal orders
Loyal Orange Institution	civic / fraternal orders
Military Order of the Loyal Legion of the United States	civic / fraternal orders
National Grange of the Order of Patrons of Husbandry	civic / fraternal orders
Order of United American Mechanics	civic / fraternal orders
Order of the Amaranth	civic / fraternal orders
Premier Grand Lodge / United Grand Lodge of England	civic / fraternal orders
Shriners International / Imperial Council, AAONMS	civic / fraternal orders
Sons of Temperance	civic / fraternal orders
United Ancient Order of Druids, American body	civic / fraternal orders
United Grand Lodge of England / Premier Grand Lodge lineage	civic / fraternal orders
A.E. Köchert	firms
Acetaia Giusti	firms
Akafuku	firms
Amarelli	firms
Amsterdam Wisselbank	firms
Augustea	firms
Bank of England	firms
Banque Hottinguer	firms
Banque Lombard Odier & Cie	firms
Banque Pictet & Cie	firms
Beligné	firms
C. Hoare & Co.	firms
Cartiera Mantovana	firms
Catherineau	firms
Champagne Billecart-Salmon	firms
Château de Goulaine	firms
Colussi	firms
De Kuyper Royal Distillers	firms
Denantes	firms
Descours & Cabaud	firms
Ditta Bortolo Nardini	firms
Dutch East India Company (VOC)	firms
D’Ieteren	firms
East India Company	firms
Fabbrica d’Armi Pietro Beretta	firms
Fratelli Piacenza	firms
Fried. Schwarze	firms
Garbellotto	firms
Gekkeikan	firms
Genda Shigyō	firms
Gradis 1685	firms
Grondona	firms
Groupe Bolloré	firms
Groupe Mirabaud	firms
Guerrieri Rizzardi	firms
Guinness / St James’s Gate Brewery	firms
HOSHI	firms
Honor/Société des Moulins du Bazacle	firms
Hudson’s Bay Company	firms
Hugel & Fils	firms
Hōshi Ryokan	firms
Ichimonjiya Wasuke	firms
J. & L. Lobmeyr	firms
J.D. Neuhaus	firms
Koman	firms
Kongō Gumi	firms
Leone de Castris	firms
Les Fils Dreyfus & Cie	firms
Louis Latour	firms
Luxardo	firms
Mellerio	firms
Monnaie de Paris	firms
Monte Pio / Banca Monte dei Paschi di Siena	firms
Möllergroup	firms
Nabeya	firms
Nakagawa Masashichi Shoten	firms
Nakamura Shaji	firms
Nishiyama Onsen Keiunkan	firms
Okaya	firms
Otterton Mill	firms
Pinto Basto	firms
Pollet	firms
Pontificia Fonderia Marinelli	firms
Revol	firms
Royal Mint	firms
Shumiya-Shinbutsuguten	firms
St. Peter Stiftskulinarium	firms
Stabilimento Colbachini	firms
Staffelter Hof	firms
Stora Kopparberg / Stora Enso	firms
Tanaka-Iga	firms
Tarrerias Bonjean	firms
Thiercelin	firms
Toraya	firms
Van Eeghen Group	firms
Viellard Migeon & Cie	firms
