name	domain	earliest_own_aim	agent_id	notes
Teutonic Order	religions	no	wave1	no contemporaneous own-aim text
Gulating	legal traditions	no	wave1	no founding own-aim instrument
Drapers’ Company	professions / guilds	yes	wave1	1371 ordinances
Barings	firms	no	wave1	1762 articles not publicly transcribable
Canada	states / administrations	yes	wave1	1864 Québec Resolutions / 1867 Act
Leopoldina	scholarly disciplines	yes	wave1	1662 printed statutes; 1651/52 MS not independently quoted
B’nai B’rith	civic / fraternal orders	no	wave1	1843/1851 constitution not in public text
Prohibition Party	reform movements	yes	wave1	2 Sep 1869 resolutions
African Lodge No. 459 / Prince Hall Grand Lodge lineage	civic / fraternal orders	yes	8105c556-8839-4166-8564-b9019388828e	bound to Boston African Lodge 1779–1847; dissolution window
Ancient Order of Foresters	civic / fraternal orders	yes	eaa1ee22-1bd6-48dc-aa79-10eeeb8c3a27	1834 convening notice
Grand Army of the Republic	civic / fraternal orders	yes	02ad52c8-e04c-4600-a155-6e52add465e9	May 1866 constitution; dissolved 1956
Grand United Order of Good Samaritans	civic / fraternal orders	no	6e082a28-7d4c-4014-aa94-1027819f55e5	no earliest own-aim source
Free Sons of Israel	civic / fraternal orders	yes	be595be9-bedc-45de-8acf-0b1636746b85	1849 Grand Lodge via 1895 NYT report of minutes
Benevolent and Protective Order of Elks	civic / fraternal orders	yes	71a3e0da-6539-4889-9d9e-117087c7ba66	1868 constitution
Ancient Order of Hibernians in America	civic / fraternal orders	yes	30bf83d4-b628-4752-8007-47f292acf757	unified 1898; readable purpose text is 1908 constitution
Ancient Order of United Workmen	civic / fraternal orders	yes	25f64647-1187-4a95-ad52-0d85a24182b7	1868 constitution via 1887 founder volume; dissolved 1952
Independent Order of Oddfellows Manchester Unity	civic / fraternal orders	yes	59667977-4f35-45b5-b3a3-2f4aa166652f	1829 compilation of 1814 committee minutes
Independent Order of Rechabites / Rechabite Friendly Society	civic / fraternal orders	yes	8fab72de-0f24-402b-8107-7d00f6e8f912	1835 General Laws via Campbell 1911
Independent Order of Rechabites	civic / fraternal orders	yes	d047b7f7-76ed-49b0-9fb5-1ba348f9b375	same Salford Unity lineage as Rechabite Friendly
Independent Order of Odd Fellows (United States)	civic / fraternal orders	yes	809df4db-f258-44c2-b2a2-84cefd724f0e	1819 newspaper notices to form a lodge
International Order of Good Templars / Movendi	civic / fraternal orders	yes	74d522e6-ab9d-4eb9-9981-ca3b3e87c88f	1853/1855 degree book; 1864 ritual
Knights of Pythias	civic / fraternal orders	yes	26b92377-74cc-43b1-8fe9-9968ed55692c	1864 founding minutes via 1877 manual
Independent/International Order of Good Templars, now Movendi International	civic / fraternal orders	yes	5bc13712-f832-4ae2-a968-9417bb2bffe0	Bloomer 1853; overlapping Movendi lineage
Loyal Orange Institution	civic / fraternal orders	yes	bb2c5731-703a-405c-8570-897961b18a1b	1797–98 institutional texts; central Grand Lodge interruptions
Military Order of the Loyal Legion of the United States	civic / fraternal orders	yes	5a9120fd-a61b-48e9-a32b-e6633c5b14dc	readable objects text is 1881 constitution
National Grange of the Order of Patrons of Husbandry	civic / fraternal orders	yes	f1bb60c9-3aca-4b64-b20e-aade9ffdf2b3	Nov 1867 Kelley circular
Order of the Amaranth	civic / fraternal orders	no	0b71d2ff-8467-4f41-9567-a240efa8c5bf	1897 ritual not inspectable for purpose text
Premier Grand Lodge / United Grand Lodge of England	civic / fraternal orders	yes	ff5dcf0a-72fd-4115-90bd-7835d5a0ce65	1723 Constitutions; bound 1721–1813 merger
